Date,Net-kCal
2016-09-25,450,100
2016-09-26,111.63,100
2016-09-27,-489.5,100
2016-09-28,-197.8,100
2016-09-29,284.15,100
2016-09-30,52.01,100
2016-10-01,324.42,100
2016-10-02,-64.65,100
2016-10-03,-303.64,100
2016-10-04,-225.43,100
2016-10-05,-320.3,100
2016-10-06,-200.99,100
2016-10-07,-188.71,100
2016-10-08,78.49,100
2016-10-09,-249.73,100
2016-10-10,-106.19,100
2016-10-11,21.82,100
2016-10-12,-190.93,100
2016-10-13,102.44,100
2016-10-14,-30.45,100
2016-10-15,-183.13,100
2016-10-16,393.98,100
2016-10-17,-289.97,100
2016-10-18,-310.4,100
2016-10-19,-239.43,100
2016-10-20,-250.75,100
2016-10-21,96.33,100
2016-10-22,-186.62,100
2016-10-23,-148.91,100
2016-10-24,-546.02,100
2016-10-25,-456.6,100
2016-10-26,-374.97,100
2016-10-27,-229.97,100
2016-10-28,-49.93,100
2016-10-29,238.34,100
2016-10-30,327.37,100
2016-10-31,32.38,100
2016-11-01,-539.91,100
2016-11-02,-293.85,100
2016-11-03,-196.49,100
2016-11-04,-267.46,100
2016-11-05,-123,100
2016-11-06,-111.57,100
2016-11-07,203.58,100
2016-11-08,-329.42,100
2016-11-09,1.6,100
2016-11-10,-291.09,100
2016-11-11,-230.17,100
2016-11-12,-201.37,100
2016-11-13,386.38,100
2016-11-14,-506.71,100
2016-11-15,-294.56,100
2016-11-16,-456.94,100
2016-11-17,111.49,100
2016-11-18,-228.57,100
2016-11-19,74.46,100
2016-11-20,50.89,100
2016-11-21,-241.5,100
2016-11-22,-684.8,100
2016-11-23,-433.22,100
2016-11-24,-117.07,100
2016-11-25,-340.02,100
2016-11-26,-478.2,100
2016-11-27,-269,100
2016-11-28,-311,100
2016-11-29,-293,100
2016-11-30,-77,100
2016-12-01,-436,100
2016-12-02,-132,100
2016-12-03,-95,100
2016-12-04,202,100
2016-12-05,-312,100
2016-12-06,-185,100
2016-12-07,-359,100
2016-12-08,-248,100
2016-12-09,-233,100
2016-12-10,63,100
2016-12-11,-389,100
2016-12-12,-361,100
2016-12-13,-387,100
2016-12-14,-358,100
2016-12-15,-400,100
2016-12-16,-250,100
